Name,Chipset,Memory,Core Clock,Boost Clock,Color,Length,Rating,Price
Gigabyte GAMING OC (13),ChipsetRadeon RX 9060 XT,Memory16 GB,Core Clock2220 MHz,Boost Clock3320 MHz,ColorBlack,Length281 mm,(13),€460.49Add
Gigabyte WINDFORCE OC SFF (10),ChipsetGeForce RTX 5070,Memory12 GB,Core Clock2160 MHz,Boost Clock2542 MHz,ColorBlack,Length282 mm,(10),€706.16Add
MSI GeForce RTX 3060 Ventus 2X 12G (35),ChipsetGeForce RTX 3060 12GB,Memory12 GB,Core Clock1320 MHz,Boost Clock1777 MHz,ColorBlack,Length235 mm,(35),€565.50Add
Asus ROG Astral OC (8),ChipsetGeForce RTX 5090,Memory32 GB,Core Clock2010 MHz,Boost Clock2610 MHz,ColorBlack / Silver,Length358 mm,(8),€4442.88Add
Gigabyte GAMING OC (29),ChipsetRadeon RX 9070 XT,Memory16 GB,Core Clock2520 MHz,Boost Clock3060 MHz,ColorBlack,Length288 mm,(29),€749.95Add
MSI SHADOW 2X OC (3),ChipsetGeForce RTX 5060,Memory8 GB,Core Clock2280 MHz,Boost Clock2535 MHz,ColorBlack / Silver,Length197 mm,(3),Add
Asus PRIME (12),ChipsetGeForce RTX 5070 Ti,Memory16 GB,Core Clock2300 MHz,Boost Clock2482 MHz,ColorBlack / White,Length306 mm,(12),Out of stock€1128.78Add
Asus DUAL OC (4),ChipsetGeForce RTX 5060 Ti,Memory16 GB,Core Clock2410 MHz,Boost Clock2632 MHz,ColorBlack / Silver,Length229 mm,(4),€704.90Add
Intel Limited Edition (27),ChipsetArc B580,Memory12 GB,Core Clock2670 MHz,Boost Clock,ColorBlack,Length272 mm,(27),€275.79Add
Asus PRIME OC (20),ChipsetRadeon RX 9070 XT,Memory16 GB,Core Clock2460 MHz,Boost Clock3030 MHz,ColorBlack,Length312 mm,(20),€739.90Add
Sapphire PULSE (9),ChipsetRadeon RX 9060 XT,Memory16 GB,Core Clock2220 MHz,Boost Clock3290 MHz,ColorBlack,Length240 mm,(9),€486.56Add
MSI SHADOW 3X OC (1),ChipsetGeForce RTX 5080,Memory16 GB,Core Clock2300 MHz,Boost Clock2655 MHz,ColorBlack,Length303 mm,(1),Add
PowerColor Reaper (10),ChipsetRadeon RX 9060 XT,Memory16 GB,Core Clock2220 MHz,Boost Clock3230 MHz,ColorBlack,Length200 mm,(10),€505.80Add
Inno3D X3 OC (0),ChipsetGeForce RTX 5090,Memory32 GB,Core Clock2017 MHz,Boost Clock2452 MHz,ColorBlack / Silver,Length333 mm,(0),Out of stock€2878.69Add
Gigabyte WINDFORCE OC (1),ChipsetGeForce RTX 5060,Memory8 GB,Core Clock2280 MHz,Boost Clock,ColorBlack,Length199 mm,(1),€332.47Add
Asus PRIME OC (10),ChipsetGeForce RTX 5070,Memory12 GB,Core Clock2160 MHz,Boost Clock,ColorBlack / White,Length306 mm,(10),€672.99Add
MSI GAMING TRIO OC (5),ChipsetGeForce RTX 5070 Ti,Memory16 GB,Core Clock2300 MHz,Boost Clock2580 MHz,ColorBlack,Length338 mm,(5),€1128.90Add
ASRock Challenger (9),ChipsetRadeon RX 9070 XT,Memory16 GB,Core Clock2400 MHz,Boost Clock2970 MHz,ColorBlack,Length290 mm,(9),€760.79Add
XFX Swift OC (17),ChipsetRadeon RX 9060 XT,Memory16 GB,Core Clock2220 MHz,Boost Clock3320 MHz,ColorBlack,Length290 mm,(17),€464.00Add
PNY OC (11),ChipsetGeForce RTX 5070 Ti,Memory16 GB,Core Clock2295 MHz,Boost Clock2572 MHz,ColorBlack,Length300 mm,(11),€1088.99Add
PNY VCNRTX6000ADA-PB (1),ChipsetRTX 6000 Ada Generation,Memory48 GB,Core Clock915 MHz,Boost Clock2505 MHz,ColorBlack / Gold,Length267 mm,(1),€7970.00Add
Gigabyte WINDFORCE SFF (6),ChipsetGeForce RTX 5070 Ti,Memory16 GB,Core Clock2452 MHz,Boost Clock,ColorBlack,Length304 mm,(6),€1165.60Add
MSI VENTUS 2X XS OC (1),ChipsetGeForce RTX 3050 8GB,Memory8 GB,Core Clock1550 MHz,Boost Clock1807 MHz,ColorBlack / Gray,Length205 mm,(1),€289.04Add
MSI SHADOW 2X OC (4),ChipsetGeForce RTX 5070,Memory12 GB,Core Clock2557 MHz,Boost Clock,ColorBlack,Length231 mm,(4),Add
NVIDIA Founders Edition (15),ChipsetGeForce RTX 5090,Memory32 GB,Core Clock2017 MHz,Boost Clock2407 MHz,ColorBlack / Silver,Length304 mm,(15),€4589.00Add
Asus PRIME (8),ChipsetGeForce RTX 5070,Memory12 GB,Core Clock2160 MHz,Boost Clock,ColorBlack / White,Length306 mm,(8),€664.47Add
Sapphire PULSE (27),ChipsetRadeon RX 9070 XT,Memory16 GB,Core Clock2400 MHz,Boost Clock2970 MHz,ColorBlack,Length320 mm,(27),€719.95Add
MSI VENTUS 2X OC (1),ChipsetGeForce RTX 3050 6GB,Memory6 GB,Core Clock1040 MHz,Boost Clock1492 MHz,ColorBlack,Length189 mm,(1),€279.00Add
Gigabyte WINDFORCE OC SFF (5),ChipsetGeForce RTX 5070 Ti,Memory16 GB,Core Clock2497 MHz,Boost Clock,ColorBlack,Length304 mm,(5),€955.80Add
Asus DUAL (2),ChipsetRadeon RX 9060 XT,Memory16 GB,Core Clock2220 MHz,Boost Clock3250 MHz,ColorBlack,Length202 mm,(2),€429.90Add
Asus PRIME OC (4),ChipsetGeForce RTX 5070 Ti,Memory16 GB,Core Clock2300 MHz,Boost Clock2527 MHz,ColorBlack / White,Length306 mm,(4),€1041.59Add
ASRock Challenger OC (10),ChipsetRadeon RX 9060 XT,Memory16 GB,Core Clock2220 MHz,Boost Clock3290 MHz,ColorBlack / Silver,Length249 mm,(10),€501.69Add
ASRock Steel Legend (26),ChipsetRadeon RX 9070 XT,Memory16 GB,Core Clock2400 MHz,Boost Clock2970 MHz,ColorWhite / Gray,Length298 mm,(26),€755.86Add
Gigabyte WINDFORCE OC SFF (4),ChipsetGeForce RTX 5080,Memory16 GB,Core Clock2300 MHz,Boost Clock,ColorBlack,Length304 mm,(4),€1404.89Add
NVIDIA Founders Edition (11),ChipsetGeForce RTX 5070,Memory12 GB,Core Clock2160 MHz,Boost Clock2510 MHz,ColorBlack / Gray,Length242 mm,(11),Add
PNY OC (12),ChipsetGeForce RTX 5070,Memory12 GB,Core Clock2325 MHz,Boost Clock2587 MHz,ColorBlack,Length300 mm,(12),€779.04Add
NVIDIA Founders Edition (18),ChipsetGeForce RTX 5080,Memory16 GB,Core Clock2300 MHz,Boost Clock2620 MHz,ColorBlack / Gray,Length304 mm,(18),€1989.99Add
Asus TUF GAMING OC (12),ChipsetGeForce RTX 5070 Ti,Memory16 GB,Core Clock2300 MHz,Boost Clock2610 MHz,ColorBlack / Silver,Length329 mm,(12),€1238.90Add
PNY Dual Fan OC (4),ChipsetGeForce RTX 5060 Ti,Memory16 GB,Core Clock2407 MHz,Boost Clock2691 MHz,ColorBlack,Length245 mm,(4),€954.24Add
Asus ROG Astral OC (1),ChipsetGeForce RTX 5090,Memory32 GB,Core Clock2010 MHz,Boost Clock2610 MHz,ColorWhite,Length358 mm,(1),€4303.00Add
Asus ROG Astral OC (10),ChipsetGeForce RTX 5080,Memory16 GB,Core Clock2300 MHz,Boost Clock,ColorBlack / Silver,Length358 mm,(10),€1804.89Add
Asus TUF GAMING OC (5),ChipsetGeForce RTX 5080,Memory16 GB,Core Clock2300 MHz,Boost Clock,ColorBlack / Silver,Length348 mm,(5),€1478.90Add
PowerColor Reaper (10),ChipsetRadeon RX 9070 XT,Memory16 GB,Core Clock2400 MHz,Boost Clock2970 MHz,ColorBlack / Red,Length289 mm,(10),€655.69Add
MSI GAMING TRIO OC (8),ChipsetGeForce RTX 5090,Memory32 GB,Core Clock2010 MHz,Boost Clock,ColorBlack / Silver,Length359 mm,(8),€3400.00Add
Asus PRIME (4),ChipsetGeForce RTX 5060 Ti,Memory16 GB,Core Clock2410 MHz,Boost Clock2602 MHz,ColorBlack,Length304 mm,(4),€881.89Add
XFX Swift OC (4),ChipsetRadeon RX 9060 XT,Memory16 GB,Core Clock2220 MHz,Boost Clock3320 MHz,ColorWhite,Length290 mm,(4),€464.00Add
MSI SHADOW 3X OC (4),ChipsetGeForce RTX 5070 Ti,Memory16 GB,Core Clock2300 MHz,Boost Clock2497 MHz,ColorBlack,Length303 mm,(4),Add
XFX Swift (16),ChipsetRadeon RX 9070 XT,Memory16 GB,Core Clock1660 MHz,Boost Clock2970 MHz,ColorBlack,Length325 mm,(16),€736.00Add
