Name,Speed,Modules,Price / GB,Color,First Word Latency,CAS Latency,Rating,Price
Crucial Pro Overclocking 32 GB (51),SpeedDDR5-6000,Modules2 x 16GB,Price / GB€12.499,ColorBlack,First Word Latency12 ns,CAS Latency36,(51),€399.98Add
Corsair Vengeance RGB 32 GB (96),SpeedDDR5-6000,Modules2 x 16GB,Price / GB€7.027,ColorBlack,First Word Latency12 ns,CAS Latency36,(96),€224.87Add
Corsair Vengeance LPX 32 GB (74),SpeedDDR4-3200,Modules2 x 16GB,Price / GB€4.840,ColorBlack / Yellow,First Word Latency10 ns,CAS Latency16,(74),€154.88Add
Corsair Vengeance LPX 16 GB (514),SpeedDDR4-3200,Modules2 x 8GB,Price / GB€10.738,ColorBlack / Yellow,First Word Latency10 ns,CAS Latency16,(514),€171.80Add
Crucial Pro 32 GB (7),SpeedDDR5-5600,Modules2 x 16GB,Price / GB€13.750,ColorBlack,First Word Latency16.429 ns,CAS Latency46,(7),€439.99Add
G.Skill Flare X5 32 GB (114),SpeedDDR5-6000,Modules2 x 16GB,Price / GB€15.669,ColorBlack,First Word Latency12 ns,CAS Latency36,(114),€501.41Add
Silicon Power GAMING 16 GB (67),SpeedDDR4-3200,Modules2 x 8GB,Price / GB€10.624,ColorBlack / Gray,First Word Latency10 ns,CAS Latency16,(67),€169.99Add
Kingston FURY Beast 16 GB (10),SpeedDDR5-5200,Modules2 x 8GB,Price / GB€20.532,ColorBlack,First Word Latency15.385 ns,CAS Latency40,(10),€328.52Add
Corsair Vengeance RGB 64 GB (23),SpeedDDR5-6000,Modules2 x 32GB,Price / GB€18.577,ColorBlack,First Word Latency10 ns,CAS Latency30,(23),€1188.90Add
Kingston FURY Beast 32 GB (34),SpeedDDR5-6000,Modules2 x 16GB,Price / GB€17.020,ColorBlack,First Word Latency10 ns,CAS Latency30,(34),€544.65Add
Patriot Viper Elite 5 16 GB (1),SpeedDDR5-6000,Modules1 x 16GB,Price / GB,ColorWhite,First Word Latency10 ns,CAS Latency30,(1),Add
Corsair Vengeance RGB 32 GB (19),SpeedDDR5-6000,Modules2 x 16GB,Price / GB€15.031,ColorWhite / Silver,First Word Latency12 ns,CAS Latency36,(19),€480.99Add
Corsair Vengeance RGB Pro 32 GB (106),SpeedDDR4-3600,Modules2 x 16GB,Price / GB€6.312,ColorBlack,First Word Latency10 ns,CAS Latency18,(106),€201.99Add
Crucial Pro 32 GB (0),SpeedDDR5-6400,Modules2 x 16GB,Price / GB€15.281,ColorBlack,First Word Latency11.875 ns,CAS Latency38,(0),€489.00Add
Kingston FURY Beast RGB 32 GB (16),SpeedDDR5-6000,Modules2 x 16GB,Price / GB€9.643,ColorBlack,First Word Latency10 ns,CAS Latency30,(16),€308.56Add
