Name,Capacity,Price / GB,Type,Cache,Form Factor,Interface,Rating,Price
Samsung 990 Pro (264),Capacity2 TB,Price / GB€0.132,TypeSSD,Cache2048 MB,Form FactorM.2-2280,InterfaceM.2 PCIe 4.0 X4,(264),€263.89Add
Kingston NV3 (46),Capacity1 TB,Price / GB€0.142,TypeSSD,Cache,Form FactorM.2-2280,InterfaceM.2 PCIe 4.0 X4,(46),€142.50Add
Crucial P310 (10),Capacity1 TB,Price / GB€0.163,TypeSSD,Cache,Form FactorM.2-2280,InterfaceM.2 PCIe 4.0 X4,(10),€162.83Add
Samsung 990 Pro (80),Capacity1 TB,Price / GB€0.135,TypeSSD,Cache1024 MB,Form FactorM.2-2280,InterfaceM.2 PCIe 4.0 X4,(80),€134.87Add
Samsung 990 EVO Plus (58),Capacity2 TB,Price / GB€0.125,TypeSSD,Cache,Form FactorM.2-2280,InterfaceM.2 PCIe 5.0 X2,(58),€250.29Add
Samsung 990 Pro (96),Capacity4 TB,Price / GB€0.089,TypeSSD,Cache4096 MB,Form FactorM.2-2280,InterfaceM.2 PCIe 4.0 X4,(96),€354.86Add
Samsung 9100 PRO (2),Capacity8 TB,Price / GB€0.121,TypeSSD,Cache8192 MB,Form FactorM.2-2280,InterfaceM.2 PCIe 5.0 X4,(2),€969.00Add
Western Digital WD_Black SN850X (241),Capacity2 TB,Price / GB€0.097,TypeSSD,Cache2048 MB,Form FactorM.2-2280,InterfaceM.2 PCIe 4.0 X4,(241),€194.51Add
Seagate Barracuda Compute (748),Capacity2 TB,Price / GB€0.050,Type7200 RPM,Cache256 MB,"Form Factor3.5""",InterfaceSATA 6.0 Gb/s,(748),€99.80Add
Samsung 990 EVO Plus (47),Capacity1 TB,Price / GB€0.165,TypeSSD,Cache,Form FactorM.2-2280,InterfaceM.2 PCIe 5.0 X2,(47),€164.95Add
OWC Mercury Enterprise Pro 6G (0),Capacity16 TB,Price / GB,TypeSSD,Cache,"Form Factor2.5""",InterfaceSATA 6.0 Gb/s,(0),Add
Patriot P300 (13),Capacity512 GB,Price / GB€0.164,TypeSSD,Cache,Form FactorM.2-2280,InterfaceM.2 PCIe 3.0 X4,(13),€83.99Add
