Name,Screen Size,Resolution,Refresh Rate,Response Time (G2G),Panel Type,Aspect Ratio,Rating,Price
MSI MAG 275QF (16),"Screen Size27.0""",Resolution2560 x 1440,Refresh Rate180 Hz,Response Time (G2G)0.5 ms,Panel TypeIPS,Aspect Ratio16:9,(16),Add
Dell UP3218K (0),"Screen Size31.5""",Resolution7680 x 4320,Refresh Rate60 Hz,Response Time (G2G)6 ms,Panel TypeIPS,Aspect Ratio16:9,(0),€4199.00Add
KOORUI 24E3 (9),"Screen Size24.0""",Resolution1920 x 1080,Refresh Rate165 Hz,Response Time (G2G)1 ms,Panel TypeIPS,Aspect Ratio16:9,(9),Add
Asus ROG Swift OLED PG32UCDM (6),"Screen Size31.5""",Resolution3840 x 2160,Refresh Rate240 Hz,Response Time (G2G)0.03 ms,Panel TypeQD-OLED,Aspect Ratio16:9,(6),€1685.14Add
Asus TUF Gaming VG27AQ (96),"Screen Size27.0""",Resolution2560 x 1440,Refresh Rate165 Hz,Response Time (G2G)1 ms,Panel TypeIPS,Aspect Ratio16:9,(96),€410.01Add
MSI PRO MP225V (0),"Screen Size21.4""",Resolution1920 x 1080,Refresh Rate100 Hz,Response Time (G2G)4 ms,Panel TypeVA,Aspect Ratio16:9,(0),€82.98Add
Asus ROG Swift PG32UQX (0),"Screen Size32.0""",Resolution3840 x 2160,Refresh Rate144 Hz,Response Time (G2G)4 ms,Panel TypeIPS,Aspect Ratio16:9,(0),€4900.29Add
AOC Agon PRO AG276QZD2 (5),"Screen Size26.7""",Resolution2560 x 1440,Refresh Rate240 Hz,Response Time (G2G)0.03 ms,Panel TypeQD-OLED,Aspect Ratio16:9,(5),€504.90Add
MSI MAG 244F (1),"Screen Size23.8""",Resolution1920 x 1080,Refresh Rate200 Hz,Response Time (G2G)0.5 ms,Panel TypeIPS,Aspect Ratio16:9,(1),€141.50Add
Samsung Odyssey Neo G95NC (2),"Screen Size57.0""",Resolution7680 x 2160,Refresh Rate240 Hz,Response Time (G2G)1 ms,Panel TypeVA,Aspect Ratio32:9,(2),€2376.00Add
Asus ROG Swift OLED PG27AQDP (1),"Screen Size26.5""",Resolution2560 x 1440,Refresh Rate480 Hz,Response Time (G2G)0.03 ms,Panel TypeOLED,Aspect Ratio16:9,(1),€928.64Add
Acer Acer Nitro XV272U W2bmiiprx (6),"Screen Size27.0""",Resolution2560 x 1440,Refresh Rate240 Hz,Response Time (G2G)1 ms,Panel TypeIPS,Aspect Ratio16:9,(6),Add
Asus TUF Gaming VG27AQ3A (4),"Screen Size27.0""",Resolution2560 x 1440,Refresh Rate180 Hz,Response Time (G2G)1 ms,Panel TypeIPS,Aspect Ratio16:9,(4),€269.00Add
Samsung Odyssey OLED G80SD (3),"Screen Size32.0""",Resolution3840 x 2160,Refresh Rate240 Hz,Response Time (G2G)0.03 ms,Panel TypeOLED,Aspect Ratio16:9,(3),€799.00Add
Samsung Odyssey OLED G93SC (2),"Screen Size49.0""",Resolution5120 x 1440,Refresh Rate240 Hz,Response Time (G2G)0.03 ms,Panel TypeQD-OLED,Aspect Ratio32:9,(2),€909.00Add
Asus ROG Strix XG27AQDMG (6),"Screen Size26.5""",Resolution2560 x 1440,Refresh Rate240 Hz,Response Time (G2G)0.03 ms,Panel TypeWOLED,Aspect Ratio16:9,(6),€597.35Add
Asus ROG Strix OLED XG27ACDNG (1),"Screen Size26.5""",Resolution2560 x 1440,Refresh Rate360 Hz,Response Time (G2G)0.03 ms,Panel TypeQD-OLED,Aspect Ratio16:9,(1),€699.00Add
Asus ROG Swift OLED PG27UCDM (2),"Screen Size26.5""",Resolution3840 x 2160,Refresh Rate240 Hz,Response Time (G2G)0.03 ms,Panel TypeQD-OLED,Aspect Ratio16:9,(2),€1179.00Add
