Name,Mode,Maximum Supported Memory,Rating,Price
Microsoft Windows 11 Home OEM - DVD 64-bit (150),Mode64-bit,Maximum Supported Memory128 GB,(150),€111.82Add
Microsoft Windows 11 Pro OEM - DVD 64-bit (148),Mode64-bit,Maximum Supported Memory2048 GB,(148),€89.99Add
Microsoft Windows 11 Home Retail - USB 64-bit (90),Mode64-bit,Maximum Supported Memory128 GB,(90),€163.53Add
Microsoft Windows 11 Pro Retail - Download 64-bit (98),Mode64-bit,Maximum Supported Memory2048 GB,(98),€147.11Add
Microsoft Windows 11 Home Retail - Download 64-bit (50),Mode64-bit,Maximum Supported Memory128 GB,(50),Add
Microsoft Windows 11 Pro Retail - USB 64-bit (37),Mode64-bit,Maximum Supported Memory2048 GB,(37),€270.81Add
Microsoft Windows 10 Home OEM - DVD 64-bit (1068),Mode64-bit,Maximum Supported Memory128 GB,(1068),Add
Microsoft Windows 10 Home Retail - USB 32/64-bit (82),Mode32/64-bit,Maximum Supported Memory128 GB,(82),Add
Microsoft Windows 10 Pro Retail - USB 32/64-bit (28),Mode32/64-bit,Maximum Supported Memory2048 GB,(28),Add
Microsoft Windows 10 Home Retail - USB 32/64-bit (19),Mode32/64-bit,Maximum Supported Memory128 GB,(19),Add
Microsoft Windows 10 Pro OEM - DVD 64-bit (757),Mode64-bit,Maximum Supported Memory2048 GB,(757),Out of stock€123.88Add
Microsoft Windows 10 Pro Retail - Download 32/64-bit (57),Mode32/64-bit,Maximum Supported Memory2048 GB,(57),Add
Microsoft Windows 7 Home Premium Full 32/64-bit (31),Mode32/64-bit,Maximum Supported Memory16 GB,(31),€274.86Add
Microsoft Windows 10 Home Retail - Download 32/64-bit (75),Mode32/64-bit,Maximum Supported Memory128 GB,(75),Add
Microsoft Windows 7 Professional Full 32/64-bit (19),Mode32/64-bit,Maximum Supported Memory192 GB,(19),Add
Microsoft Windows 10 Pro French CDN - Retail - DVD 64-bit (8),Mode64-bit,Maximum Supported Memory2048 GB,(8),Add
Microsoft Windows 8.1 32/64-bit (113),Mode32/64-bit,Maximum Supported Memory128 GB,(113),Add
Microsoft Windows 10 Pro Retail - USB 32/64-bit (10),Mode32/64-bit,Maximum Supported Memory2048 GB,(10),Add
Microsoft Windows 10 Home OEM - DVD 64-bit (79),Mode64-bit,Maximum Supported Memory128 GB,(79),Add
Microsoft Windows 10 Pro Retail - USB 32/64-bit (19),Mode32/64-bit,Maximum Supported Memory2048 GB,(19),Add
Microsoft Windows 10 Home French - USB 32/64-bit (1),Mode32/64-bit,Maximum Supported Memory128 GB,(1),Add
Microsoft Windows 10 Home French OEM - DVD 64-bit (2),Mode64-bit,Maximum Supported Memory128 GB,(2),Add
Microsoft Windows 10 Home OEM - DVD 32-bit (1),Mode32-bit,Maximum Supported Memory4 GB,(1),Add
