Name,Type,Efficiency Rating,Wattage,Modular,Color,Rating,Price
MSI MAG A750GL PCIE5 (98),TypeATX,Efficiency Rating80+ Gold,Wattage750 W,ModularFull,ColorBlack,(98),€119.48Add
MSI MAG A850GL PCIE5 (82),TypeATX,Efficiency Rating80+ Gold,Wattage850 W,ModularFull,ColorBlack,(82),€127.70Add
MSI MAG A650BN (51),TypeATX,Efficiency Rating80+ Bronze,Wattage650 W,ModularNo,ColorBlack,(51),€53.69Add
Corsair RM850e (2025) (29),TypeATX,Efficiency Rating,Wattage850 W,ModularFull,ColorBlack,(29),€134.94Add
Corsair SF1000 (2024) (39),TypeSFX,Efficiency Rating80+ Platinum,Wattage1000 W,ModularFull,ColorBlack,(39),€214.90Add
Corsair RM1000x (2024) (40),TypeATX,Efficiency Rating,Wattage1000 W,ModularFull,ColorBlack,(40),€188.90Add
Montech CENTURY II (25),TypeATX,Efficiency Rating80+ Gold,Wattage850 W,ModularFull,ColorBlack,(25),€103.40Add
MSI MAG A550BN (41),TypeATX,Efficiency Rating80+ Bronze,Wattage550 W,ModularNo,ColorBlack,(41),€51.90Add
Corsair RM850x (2024) (46),TypeATX,Efficiency Rating,Wattage850 W,ModularFull,ColorBlack,(46),€150.90Add
Corsair RM750e (2025) (16),TypeATX,Efficiency Rating,Wattage750 W,ModularFull,ColorBlack,(16),€109.95Add
Thermaltake Smart (84),TypeATX,Efficiency Rating80+,Wattage500 W,ModularNo,Color,(84),Add
MSI MAG A850GL PCIE5 (25),TypeATX,Efficiency Rating80+ Gold,Wattage850 W,ModularFull,ColorWhite,(25),€117.36Add
Corsair SF750 (2024) (38),TypeSFX,Efficiency Rating80+ Platinum,Wattage750 W,ModularFull,ColorBlack,(38),€164.90Add
Asus ROG THOR 1600T Gaming (1),TypeATX,Efficiency Rating80+ Titanium,Wattage1600 W,ModularFull,ColorSilver / Black,(1),€640.50Add
MSI MPG A1000GS PCIE5 (6),TypeATX,Efficiency Rating80+ Gold,Wattage1000 W,ModularFull,ColorBlack,(6),€155.69Add
Corsair CX750M (2021) (29),TypeATX,Efficiency Rating80+ Bronze,Wattage750 W,ModularSemi,ColorBlack,(29),Add
Corsair RM1000e (2025) (9),TypeATX,Efficiency Rating,Wattage1000 W,ModularFull,ColorBlack,(9),€154.94Add
Corsair RM650e (2025) (11),TypeATX,Efficiency Rating,Wattage650 W,ModularFull,ColorBlack,(11),€84.90Add
Asus ROG STRIX 1200P Gaming (1),TypeATX,Efficiency Rating80+ Platinum,Wattage1200 W,ModularFull,ColorBlack / Silver,(1),€246.95Add
Corsair SF850 (2024) (31),TypeSFX,Efficiency Rating80+ Platinum,Wattage850 W,ModularFull,ColorBlack,(31),€170.06Add
